Default Order,OfficerName,AbilityType,OfficerSynergy,AbilityModifier,AbilityConditions,AbilityTrigger,AbilityTarget,AbilityOperation,AbilityAttributes,AbilityDescription,AbilityDescriptionShort,AbilityChances,AbilityValues,AbilityHasChance,AbilityShowPercentage,Tag_PvPinSpace,Tag_PvPinSpace_Reason,Tag_PvPStation,Tag_PvPStation_Reason,Tag_NonArmadaHostiles,Tag_NonArmadaHostiles_Reason,Tag_WaveDefense,Tag_WaveDefense_Reason,Tag_MissionBosses,Tag_MissionBosses_Reason,Tag_QTrial,Tag_QTrial_Reason,Tag_SoloArmadas,Tag_SoloArmadas_Reason,Tag_GroupArmadas,Tag_GroupArmadas_Reason,Tag_Assaults,Tag_Assaults_Reason,Tag_InvadingEntities,Tag_InvadingEntities_Reason,Tag_OutpostArmadas,Tag_OutpostArmadas_Reason,Tag_OutpostRetaliators,Tag_OutpostRetaliators_Reason,Tag_Loot,Tag_Loot_Reason,Tag_Utility,Tag_Utility_Reason,AbilityID,OfficerId,OfficerArt,OfficerRarity,Requires_StateSelf,Requires_StateTarget,Conditional_Reason,AbilityChance_1,AbilityChance_2,AbilityChance_3,AbilityChance_4,AbilityChance_5,AbilityValue_1,AbilityValue_2,AbilityValue_3,AbilityValue_4,AbilityValue_5,Column 1,Column 2
328,REGINALD BARCLAY,BDA,HOLODECK,CargoProtection,,ShipLaunched,SelfShip,MultiplyAdd,,Reginald Barclay increases the ship's base Protected Cargo by X.,Increase base Protected Cargo by X.,"1.0, 1.0, 1.0, 1.0, 1.0","0.3, 0.45, 0.6, 0.8, 1.0",FALSE,TRUE,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,➖,CargoProtection,✅,,337243133,3523093667,205,Epic,,,,1,1,1,1,1,0.3,0.45,0.6,0.8,1,,
329,SNW UNA,CM,STRANGE NEW WORLDS,AllDamage,"EnemyHostile, TargetNotArmada",CombatStart,SelfShip,MultiplyAdd,,"When fighting hostiles, SNW Una increases base Weapon Damage by X.",Increase base Weapon Damage by X.,"1.0, 1.0, 1.0","1.0, 0.75, 1.0",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,EnemyHostile,➖,TargetNotArmada,➖,EnemyHostile,➖,EnemyHostile,➖,AllDamage,➖,AllDamage,208396594,1724793140,204,Epic,,,,1,1,1,,,1,0.75,1,,,,
330,SNW UNA,OA,STRANGE NEW WORLDS,ImpulseSpeed,,ShipLaunched,SelfShip,Add,,SNW Una increases Impulse Speed by X.,Increase Impulse Speed by X.,"1.0, 1.0, 1.0, 1.0, 1.0","15.0, 20.0, 30.0, 40.0, 50.0",FALSE,FALSE,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,➖,ImpulseSpeed,✅,,3288424435,1724793140,204,Epic,,,,1,1,1,1,1,15,20,30,40,50,,
331,SNW UHURA,CM,STRANGE NEW WORLDS,CritDamage,"EnemyHostile, TargetNotArmada",CombatStart,SelfShip,Add,,"When fighting hostiles, SNW Uhura increases critical hit damage against hostiles by X.",Increase critical hit damage against hostiles by X.,"1.0, 1.0, 1.0","0.15, 0.05, 0.1",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,EnemyHostile,➖,TargetNotArmada,➖,EnemyHostile,➖,EnemyHostile,➖,CritDamage,➖,CritDamage,2975835149,97787926,206,Rare,,,,1,1,1,,,0.15,0.05,0.1,,,,
332,SNW UHURA,OA,STRANGE NEW WORLDS,AllDefenses,"SelfInterceptor, EnemyHostile, TargetNotArmada, EnemyBattleship",CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=1,"SNW Uhura increases Armor, Shield Deflection, and Dodge by X of total Attack when attacking hostile Battleships from an Interceptor.","Increase Armor, Shield Deflection, and Dodge by X of total Attack.","1.0, 1.0, 1.0, 1.0, 1.0","5.0, 8.0, 11.0, 14.0, 18.0",FALSE,TRUE,➖,"SelfInterceptor, EnemyHostile, EnemyBattleship",➖,"SelfInterceptor, EnemyHostile, EnemyBattleship",✴️,"SelfInterceptor, EnemyBattleship",✴️,"SelfInterceptor, EnemyBattleship",➖,"SelfInterceptor, EnemyHostile, EnemyBattleship",✴️,"SelfInterceptor, EnemyBattleship",➖,TargetNotArmada,➖,TargetNotArmada,➖,"SelfInterceptor, EnemyHostile, EnemyBattleship",➖,TargetNotArmada,➖,"SelfInterceptor, EnemyHostile, EnemyBattleship",➖,"SelfInterceptor, EnemyHostile, EnemyBattleship",➖,AllDefenses,➖,AllDefenses,3878448065,97787926,206,Rare,,,"SelfInterceptor, EnemyBattleship",1,1,1,1,1,5,8,11,14,18,,
333,SNW ORTEGAS,CM,STRANGE NEW WORLDS,CritChance,"EnemyHostile, TargetNotArmada",CombatStart,SelfShip,Add,,"When fighting hostiles, SNW Ortegas increases critical hit chance against hostiles by X.",Increase critical hit chance against hostiles by X.,"1.0, 1.0, 1.0","0.15, 0.05, 0.1",FALSE,TRUE,➖,EnemyHostile,➖,EnemyHostile,✅,,✅,,➖,EnemyHostile,✅,,➖,TargetNotArmada,➖,TargetNotArmada,➖,EnemyHostile,➖,TargetNotArmada,➖,EnemyHostile,➖,EnemyHostile,➖,CritChance,➖,CritChance,2272956905,1689277174,207,Rare,,,,1,1,1,,,0.15,0.05,0.1,,,,
334,SNW ORTEGAS,OA,STRANGE NEW WORLDS,AllDefenses,"SelfBattleship, EnemyHostile, EnemyExplorer, TargetNotArmada",CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=3,"SNW Ortegas increases Armor, Shield Deflection, and Dodge by X of total Health when attacking hostile Explorers from a Battleship.","Increase Armor, Shield Deflection, and Dodge by X of total Health.","1.0, 1.0, 1.0, 1.0, 1.0","5.0, 8.0, 11.0, 14.0, 18.0",FALSE,TRUE,➖,"SelfBattleship, EnemyHostile, EnemyExplorer",➖,"SelfBattleship, EnemyHostile, EnemyExplorer",✴️,"SelfBattleship, EnemyExplorer",✴️,"SelfBattleship, EnemyExplorer",➖,"SelfBattleship, EnemyHostile, EnemyExplorer",✴️,"SelfBattleship, EnemyExplorer",➖,TargetNotArmada,➖,TargetNotArmada,➖,"SelfBattleship, EnemyHostile, EnemyExplorer",➖,TargetNotArmada,➖,"SelfBattleship, EnemyHostile, EnemyExplorer",➖,"SelfBattleship, EnemyHostile, EnemyExplorer",➖,AllDefenses,➖,AllDefenses,2416006584,1689277174,207,Rare,,,"SelfBattleship, EnemyExplorer",1,1,1,1,1,5,8,11,14,18,,
335,SNW HEMMER,OA,STRANGE NEW WORLDS,AllDefenses,"EnemyHostile, TargetNotArmada, EnemySurvey",CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=3,"SNW Hemmer increases Armor, Shield Deflection, and Dodge by X of total Health when in combat with hostile Survey ships.","Increase Armor, Shield Deflection, and Dodge by X of total Health.","1.0, 1.0, 1.0, 1.0, 1.0","8.0, 10.0, 14.0, 19.0, 25.0",FALSE,TRUE,➖,"EnemyHostile, EnemySurvey",➖,"EnemyHostile, EnemySurvey",✴️,EnemySurvey,✴️,EnemySurvey,➖,"EnemyHostile, EnemySurvey",✴️,EnemySurvey,➖,TargetNotArmada,➖,TargetNotArmada,➖,"EnemyHostile, EnemySurvey",➖,TargetNotArmada,➖,"EnemyHostile, EnemySurvey",➖,"EnemyHostile, EnemySurvey",➖,AllDefenses,➖,AllDefenses,3879504116,3742595916,208,Epic,,,EnemySurvey,1,1,1,1,1,8,10,14,19,25,,
336,SNW HEMMER,BDA,STRANGE NEW WORLDS,OfficerStatHealth,,ShipLaunched,SelfAll,MultiplyAdd,,SNW Hemmer increases the Health of all Officers on the ship by X of their base value.,Increase Health of all Officers on the ship by X of their base value.,"1.0, 1.0, 1.0, 1.0, 1.0","0.7, 0.8, 1.0, 1.2, 1.5",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatHealth,➖,OfficerStatHealth,3078181122,3742595916,208,Epic,,,,1,1,1,1,1,0.7,0.8,1,1.2,1.5,,
337,STRIKE TEAM LA'AN,CM,BATTLESHIP STRIKE TEAM,ShotsPerAttack,"SelfBattleship, EnemyPlayer, TargetHasBurning",RoundStart,SelfShip,MultiplyAdd,,"While on a Battleship fighting a Burning player ship, at the start of each round Strike Team SNW La'an increases the number of shots per Weapon by X.",+X to Weapon Shots on round start if on a Battleship fighting Burning player ships.,"1.0, 1.0, 1.0","0.1, 0.25, 0.65",FALSE,TRUE,✴️,"SelfBattleship, TargetHasBurning",✴️,"SelfBattleship, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,"SelfBattleship, EnemyPlayer, TargetHasBurning",➖,ShotsPerAttack,➖,ShotsPerAttack,3065338757,3479942533,209,Epic,,Burning,"SelfBattleship, TargetHasBurning",1,1,1,,,0.1,0.25,0.65,,,,
338,STRIKE TEAM LA'AN,OA,BATTLESHIP STRIKE TEAM,AddState,"SelfBattleship, EnemyPlayer",EnemyTakesHit,EnemyShip,MultiplyAdd,"num_rounds=3, state=2","While on a Battleship fighting a player ship, each time your ship hits with a weapon, Strike Team SNW La'an has a X chance of Burning it for 3 rounds.",X chance of Burning player ships for 3 rounds per hit if on a Battleship.,"0.6, 0.65, 0.72, 0.8, 0.9","1.0, 1.0, 1.0, 1.0, 1.0",TRUE,TRUE,✴️,SelfBattleship,✴️,SelfBattleship,➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,AddState,➖,AddState,3785159004,3479942533,209,Epic,,,SelfBattleship,0.6,0.65,0.72,0.8,0.9,1,1,1,1,1,,
339,STRIKE TEAM UNA,CM,BATTLESHIP STRIKE TEAM,OfficerStatAll,"EnemyExplorer, EnemyPlayer",RoundStart,SelfAll,MultiplyAdd,,"While in combat against a player Explorer, Strike Team SNW Una increases all Officer stats by X each round.",+X to Officer stats each round against player Explorers.,"1.0, 1.0, 1.0","1.3, 0.05, 0.1",FALSE,TRUE,✴️,EnemyExplorer,✴️,EnemyExplorer,➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,"EnemyExplorer, EnemyPlayer",➖,OfficerStatAll,➖,OfficerStatAll,185131547,3512227954,210,Rare,,,EnemyExplorer,1,1,1,,,1.3,0.05,0.1,,,,
340,STRIKE TEAM UNA,OA,BATTLESHIP STRIKE TEAM,ShieldMitigation,"SelfBattleship, EnemyPlayer",RoundStart,EnemyShip,MultiplySub,,"While on a Battleship fighting a player ship, Strike Team SNW Una decreases their Shield Mitigation by X each round.",-X enemy Shield Mitigation per round against players when in a Battleship.,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.27, 0.3, 0.34, 0.4",FALSE,TRUE,✴️,SelfBattleship,✴️,SelfBattleship,➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,ShieldMitigation,➖,ShieldMitigation,3519202949,3512227954,210,Rare,,,SelfBattleship,1,1,1,1,1,0.25,0.27,0.3,0.34,0.4,,
341,STRIKE TEAM ORTEGAS,CM,BATTLESHIP STRIKE TEAM,AddState,"EnemyPlayer, EnemyExplorer",HitTaken,EnemyShip,MultiplyAdd,"num_rounds=3, state=2","When shot by a player Explorer, Strike Team SNW Ortegas has X chance of Burning them for 3 rounds.",X chance to inflict Burning for 3 rounds on player Explorers when hit by them.,"0.05, 0.1, 0.2","1.0, 1.0, 1.0",TRUE,TRUE,✴️,EnemyExplorer,✴️,EnemyExplorer,➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,"EnemyPlayer, EnemyExplorer",➖,AddState,➖,AddState,4241392103,2354305961,211,Rare,,,EnemyExplorer,0.05,0.1,0.2,,,1,1,1,,,,
342,STRIKE TEAM ORTEGAS,OA,BATTLESHIP STRIKE TEAM,AllReloadSpeed,"SelfBattleship, EnemyPlayer",RoundStart,EnemyShip,Add,num_rounds=1,"While on a Battleship fighting a player ship, Strike Team SNW Ortegas causes weapons shot by them to have a X chance of having their next attack delayed by 1 round.",X chance to delay enemy player weapons by 1 round when in a Battleship.,"0.4, 0.45, 0.52, 0.6, 0.7","1.0, 1.0, 1.0, 1.0, 1.0",TRUE,TRUE,✴️,SelfBattleship,✴️,SelfBattleship,➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,"SelfBattleship, EnemyPlayer",➖,AllReloadSpeed,➖,AllReloadSpeed,1842949267,2354305961,211,Rare,,,SelfBattleship,0.4,0.45,0.52,0.6,0.7,1,1,1,1,1,,
343,MAVERY,CM,Syndicate,CargoCapacity,,ShipLaunched,SelfShip,MultiplyAdd,,Increase Max Cargo by X.,Increase Max Cargo by X,"1.0, 1.0, 1.0","0.4, 0.1, 0.2",FALSE,TRUE,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,➖,CargoCapacity,✅,,107512332,1628322562,212,Epic,,,,1,1,1,,,0.4,0.1,0.2,,,,
344,MAVERY,OA,Syndicate,MiningRate,,ShipLaunched,SelfShip,MultiplyAdd,"resources=[1371898528, 96209859, 1908242242, 680796905, 1779416627, 84292608, 3735331456, 2964093937, 802509572, 3598797204, 1349464922, 2905009151, 3842158911, 2002611017, 3739531165, 1586478890, 296474010, 2285412015]","Increase Crystal, Gas and Ore Mining speed by X.","Increase Crystal,Gas and Ore Mining speed by X","1.0, 1.0, 1.0, 1.0, 1.0","1.0, 1.25, 1.5, 1.75, 2.0",FALSE,TRUE,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,➖,MiningRate,✅,,3295255917,1628322562,212,Epic,,,,1,1,1,1,1,1,1.25,1.5,1.75,2,,
345,GUL DUKAT,CM,INTERCEPTOR STRIKE TEAM,AddState,"SelfInterceptor, EnemyPlayer",RoundStart,EnemyShip,MultiplyAdd,"num_rounds=3, state=4","While on an Interceptor fighting a player ship, at the start of a round Gul Dukat has X chance to apply Hull Breach to it for 3 rounds.","Each round, X chance of applying Hull Breach to player ships for 3 rounds if on an Interceptor.","0.2, 0.2, 0.4","1.0, 1.0, 1.0",TRUE,TRUE,✴️,SelfInterceptor,✴️,SelfInterceptor,➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,"SelfInterceptor, EnemyPlayer",➖,AddState,➖,AddState,1381531883,1310878702,220,Epic,,,SelfInterceptor,0.2,0.2,0.4,,,1,1,1,,,,
346,GUL DUKAT,OA,INTERCEPTOR STRIKE TEAM,ShotsPerAttack,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",HitTaken,SelfShip,MultiplyAdd,num_rounds=5,"When shot while on an Interceptor fighting a player ship with Hull Breach, Gul Dukat increases the number of shots by X once per Weapon for 5 rounds.",+X Shot Count for 5 rounds if hit by a player with Hull Breach as a Interceptor.,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.29, 0.35, 0.42, 0.5",FALSE,TRUE,✴️,"SelfInterceptor, TargetHasHullBreach",✴️,"SelfInterceptor, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,ShotsPerAttack,➖,ShotsPerAttack,2187582501,1310878702,220,Epic,,Hull Breach,"SelfInterceptor, TargetHasHullBreach",1,1,1,1,1,0.25,0.29,0.35,0.42,0.5,,
347,GARAK,CM,INTERCEPTOR STRIKE TEAM,AllDamage,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",RoundStart,EnemyShip,MultiplySub,,"While on an Interceptor fighting a player ship with Hull Breach, Garak reduces opponent Kinetic Weapon Damage by X each round.","-X to Kinetic Weapon Damage each Round when fighting player ships with Hull Breach, while on an Interceptor.","1.0, 1.0, 1.0","0.05, 0.05, 0.1",FALSE,TRUE,✴️,"ModuleKinetic, SelfInterceptor, TargetHasHullBreach",✴️,"ModuleKinetic, SelfInterceptor, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"ModuleKinetic, SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,AllDamage,➖,AllDamage,2779404384,3681781473,221,Rare,,Hull Breach,"ModuleKinetic, SelfInterceptor, TargetHasHullBreach",1,1,1,,,0.05,0.05,0.1,,,,
348,GARAK,OA,INTERCEPTOR STRIKE TEAM,CritChance,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",RoundStart,SelfShip,Add,,"While on an Interceptor fighting a player ship with Hull Breach, Garak increases Critical Hit Chance by X each round.",+X Critical Hit Chance per round against players with Hull Breach.,"1.0, 1.0, 1.0, 1.0, 1.0","0.3, 0.35, 0.42, 0.5, 0.6",FALSE,TRUE,✴️,"SelfInterceptor, TargetHasHullBreach",✴️,"SelfInterceptor, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,CritChance,➖,CritChance,988061493,3681781473,221,Rare,,Hull Breach,"SelfInterceptor, TargetHasHullBreach",1,1,1,1,1,0.3,0.35,0.42,0.5,0.6,,
349,DAMAR,CM,INTERCEPTOR STRIKE TEAM,CritChance,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",CriticalShotFired,SelfShip,Add,,"While on an Interceptor fighting a player ship with Hull Breach, if Damar scores a Critical Hit, increase Critical Hit Chance by X once per Weapon for the remainder of battle.",Damar's Interceptor gets +X to Crit Chance for each Crit made on player ships with Hull Breach.,"1.0, 1.0, 1.0","0.02, 0.02, 0.03",FALSE,TRUE,✴️,"SelfInterceptor, TargetHasHullBreach",✴️,"SelfInterceptor, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,CritChance,➖,CritChance,2543230650,2613379706,222,Rare,,Hull Breach,"SelfInterceptor, TargetHasHullBreach",1,1,1,,,0.02,0.02,0.03,,,,
350,DAMAR,OA,INTERCEPTOR STRIKE TEAM,CritDamage,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",CriticalShotFired,EnemyShip,Sub,num_rounds=3,"While on an Interceptor fighting a player ship with Hull Breach, if Damar scores a Critical Hit, decrease opponent Critical Hit Damage by X once per Weapon for 3 rounds.",Opponent player with Hull Breach does -X Crit Damage for 3 rounds after being Crit.,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.29, 0.35, 0.42, 0.5",FALSE,TRUE,✴️,"SelfInterceptor, TargetHasHullBreach",✴️,"SelfInterceptor, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,"SelfInterceptor, EnemyPlayer, TargetHasHullBreach",➖,CritDamage,➖,CritDamage,1272288893,2613379706,222,Rare,,Hull Breach,"SelfInterceptor, TargetHasHullBreach",1,1,1,1,1,0.25,0.29,0.35,0.42,0.5,,
351,BENJAMIN SISKO,CM,DEEP SPACE NINE,AllDefenses,TargetIsArmada,CombatStart,SelfShip,MultiplyBaseAdd,officer_stat=3,"Benjamin Sisko increases Armor, Shield Deflection, and Dodge by X of total Health when fighting Armadas.","Increase Armor, Shield Deflection, and Dodge by X of total Health when fighting Armadas.","1.0, 1.0, 1.0","4.0, 1.0, 5.0",FALSE,TRUE,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,✅,,✅,,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,AllDefenses,➖,AllDefenses,3663862053,2178926216,213,Epic,,,,1,1,1,,,4,1,5,,,,
352,BENJAMIN SISKO,OA,DEEP SPACE NINE,CritChance,TargetIsArmada,RoundStart,SelfShip,Add,,Benjamin Sisko increases critical hit chance against Armadas by X every round (Cumulative).,Increase critical hit chance against Armadas by X every round (Cumulative).,"1.0, 1.0, 1.0, 1.0, 1.0","0.03, 0.04, 0.06, 0.08, 0.12",FALSE,TRUE,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,✅,,✅,,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,CritChance,➖,CritChance,2210405629,2178926216,213,Epic,,,,1,1,1,1,1,0.03,0.04,0.06,0.08,0.12,,
353,CHANGELING KIRA,CM,DEEP SPACE NINE,CritChance,"TargetIsArmada, EnemyHullFaction",RoundStart,EnemyShip,Sub,faction_id=3536012672,Changeling Kira decreases critical hit chance of Cardassian Armadas by X every round (Cumulative).,Decrease critical hit chance of Cardassian Armadas by X every round (Cumulative).,"1.0, 1.0, 1.0","0.02, 0.01, 0.02",FALSE,TRUE,➖,"TargetIsArmada, EnemyHullFaction",➖,"TargetIsArmada, EnemyHullFaction",➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,➖,TargetIsArmada,✴️,Cardassian,✴️,Cardassian,➖,TargetIsArmada,➖,"TargetIsArmada, EnemyHullFaction",➖,"TargetIsArmada, EnemyHullFaction",➖,"TargetIsArmada, EnemyHullFaction",➖,CritChance,➖,CritChance,3152638070,180486983,216,Rare,,,Cardassian,1,1,1,,,0.02,0.01,0.02,,,,
